season,team_id,avg_massey_rank,std_massey_rank,min_massey_rank,max_massey_rank,median_massey_rank
2007,1111,72.72,31.34,10.0,202.0,67.0
2008,1111,142.71,32.62,47.0,255.0,147.0
2009,1111,233.28,34.87,121.0,293.0,246.0
2010,1111,154.51,26.01,87.0,254.0,156.0
2011,1111,191.61,46.24,14.0,280.0,203.0
2012,1111,244.2,24.61,132.0,336.0,246.0
2013,1111,272.66,28.5,147.0,347.0,270.0
2014,1111,321.72,22.42,190.0,351.0,328.0
2015,1111,279.75,24.66,195.0,338.0,284.0
2016,1111,278.74,26.08,204.0,345.0,277.0
2017,1111,260.52,25.84,133.0,325.0,263.0
2018,1111,226.69,27.73,97.0,328.0,227.5
2019,1111,225.77,37.74,114.0,333.0,220.0
2020,1111,171.72,27.05,90.0,263.0,172.0
2021,1111,184.03,30.1,97.0,311.0,182.0
2022,1111,168.67,28.86,64.0,287.0,165.0
2023,1111,194.08,29.6,80.0,308.0,195.0
2024,1111,94.76,39.34,23.0,310.0,87.0
2003,1112,3.68,5.16,1.0,47.0,2.0
2004,1112,24.91,15.5,2.0,136.0,24.0
2005,1112,14.09,9.39,1.0,73.0,11.0
2006,1112,32.85,16.68,3.0,105.0,34.0
2007,1112,14.21,8.07,1.0,55.0,13.0
2008,1112,26.51,11.33,1.0,73.0,26.0
2009,1112,51.59,18.68,11.0,164.0,50.0
2010,1112,86.09,20.23,24.0,155.0,86.0
2011,1112,24.28,13.23,4.0,118.0,21.0
2012,1112,53.59,14.99,7.0,99.0,54.0
2013,1112,13.53,12.78,1.0,162.0,11.0
2014,1112,3.6,4.89,1.0,76.0,2.0
2015,1112,7.16,4.55,1.0,44.0,6.0
2016,1112,17.19,9.67,1.0,118.0,16.0
2017,1112,17.59,9.67,1.0,85.0,17.0
2018,1112,21.78,10.54,1.0,131.0,21.0
2019,1112,63.82,24.23,12.0,161.0,61.0
2020,1112,19.14,12.36,1.0,100.0,16.0
2021,1112,43.32,13.27,12.0,138.0,43.0
2022,1112,4.53,5.4,1.0,51.0,3.0
2023,1112,9.4,4.08,1.0,34.0,9.0
2024,1112,5.38,5.06,1.0,49.0,4.0
2003,1113,40.89,20.56,10.0,145.0,36.0
2004,1113,126.97,36.21,28.0,273.0,127.0
2005,1113,51.28,22.48,1.0,168.0,48.0
2006,1113,147.92,31.46,54.0,257.0,146.0
2007,1113,195.2,45.74,87.0,299.0,199.0
2008,1113,54.28,20.22,19.0,155.0,51.0
2009,1113,21.12,10.87,2.0,96.0,19.0
2010,1113,53.13,20.7,9.0,137.0,53.0
2011,1113,128.3,32.4,30.0,225.0,128.0
2012,1113,203.07,36.86,70.0,310.0,205.0
2013,1113,71.33,28.29,18.0,217.0,66.0
2014,1113,41.44,12.54,19.0,106.0,39.0
2015,1113,82.02,25.5,24.0,190.0,76.0
2016,1113,72.06,20.5,26.0,168.0,70.0
2017,1113,123.67,22.76,19.0,207.0,121.0
2018,1113,29.83,19.16,1.0,148.0,28.0
2019,1113,48.42,13.97,8.0,130.0,50.0
2020,1113,55.97,17.78,8.0,187.0,56.0
2021,1113,97.98,32.71,17.0,220.0,100.0
2022,1113,124.23,33.81,54.0,259.0,118.0
2023,1113,53.42,16.9,12.0,132.0,54.0
2024,1113,102.33,24.24,31.0,219.0,102.0
2003,1114,151.89,16.45,93.0,213.0,152.0
2004,1114,183.74,37.65,79.0,296.0,180.0
2005,1114,107.88,30.23,30.0,213.0,106.0
2006,1114,175.79,29.58,106.0,249.0,173.0
2007,1114,233.83,17.72,156.0,289.0,233.0
2008,1114,166.98,32.19,37.0,286.0,168.0
2009,1114,125.52,33.41,48.0,235.0,121.0
2010,1114,262.34,36.33,87.0,327.0,271.0
2011,1114,199.47,31.72,38.0,299.0,203.0
2012,1114,206.22,39.1,136.0,328.0,192.0
2013,1114,179.86,34.25,59.0,256.0,183.0
2014,1114,227.96,31.39,130.0,327.0,229.0
2015,1114,252.41,28.26,137.0,323.0,253.0
2016,1114,65.24,42.76,1.0,294.0,56.0
2017,1114,195.82,49.67,36.0,350.0,209.0
2018,1114,299.61,23.51,190.0,351.0,303.0
2019,1114,243.64,34.6,137.0,333.0,243.0
2020,1114,145.99,35.81,51.0,315.0,137.0
2021,1114,179.53,39.03,94.0,323.0,177.0
2022,1114,292.66,29.91,125.0,344.0,296.0
2023,1114,332.44,12.8,255.0,357.0,334.0
2024,1114,244.36,42.39,84.0,362.0,254.0
2003,1115,319.48,14.26,202.0,327.0,324.0
2004,1115,321.26,9.39,249.0,326.0,325.0
2005,1115,315.63,16.84,192.0,330.0,321.0
2006,1115,296.74,27.87,104.0,331.0,304.0
2007,1115,303.89,23.67,188.0,333.0,309.0
2008,1115,296.36,27.93,191.0,336.0,303.0
2009,1115,293.1,36.76,126.0,345.0,302.0
2010,1115,251.31,34.02,133.0,336.0,250.0
2011,1115,325.99,22.95,112.0,344.0,333.0
2012,1115,319.53,20.41,207.0,342.0,326.0
2013,1115,282.13,44.3,106.0,345.0,291.0
2014,1115,305.66,28.74,174.0,348.0,314.0
2015,1115,318.78,17.19,191.0,345.0,322.0
2016,1115,325.21,30.37,62.0,351.0,334.0
2017,1115,343.42,5.15,306.0,351.0,345.0
2018,1115,329.5,15.43,280.0,351.0,330.0
2019,1115,314.01,20.56,206.0,347.0,319.5
2020,1115,342.04,10.45,245.0,352.0,345.0
2021,1115,337.51,17.06,250.0,357.0,342.0
2022,1115,347.99,10.83,243.0,357.0,351.0
2023,1115,327.23,23.65,169.0,362.0,332.0
2024,1115,329.32,21.83,163.0,361.0,333.0
2003,1116,127.5,34.49,31.0,274.0,129.0
2004,1116,98.34,23.8,37.0,185.0,96.0
2005,1116,46.17,23.17,1.0,152.0,46.0
2006,1116,38.51,15.8,12.0,113.0,37.0
2007,1116,43.84,13.48,8.0,88.0,44.0
2008,1116,40.7,13.28,4.0,122.0,39.0
2009,1116,95.56,33.81,9.0,233.0,95.0
2010,1116,144.22,50.34,28.0,307.0,133.0
2011,1116,93.02,23.51,48.0,236.0,89.0
2012,1116,85.03,22.81,8.0,182.0,82.0
2013,1116,81.34,26.3,23.0,232.0,75.0
2014,1116,45.7,15.98,6.0,108.0,46.0
2015,1116,26.34,7.65,6.0,70.0,25.0
2016,1116,82.35,28.4,19.0,204.0,80.0
2017,1116,41.78,11.78,12.0,104.0,41.0
2018,1116,28.5,10.92,1.0,79.0,28.0
2019,1116,61.14,16.6,20.0,133.0,59.0
2020,1116,34.23,14.14,3.0,78.0,33.0
2021,1116,25.45,14.03,4.0,130.0,23.0
2022,1116,32.47,18.76,3.0,147.0,27.0
2023,1116,20.58,9.48,3.0,52.0,19.0
2024,1116,89.74,29.47,9.0,149.0,94.5
2003,1117,197.25,37.64,65.0,291.0,201.0
2004,1117,135.92,37.34,21.0,260.0,148.0
2005,1117,165.95,30.09,52.0,290.0,163.0
2006,1117,206.76,28.91,94.0,282.0,209.0
2007,1117,219.46,25.5,149.0,291.0,219.0
2008,1117,260.68,27.16,140.0,330.0,266.0
2009,1117,181.7,53.98,64.0,318.0,180.0
2010,1117,192.89,24.08,130.0,309.0,194.0
2011,1117,212.66,32.99,107.0,330.0,209.0
2012,1117,202.5,30.79,68.0,286.0,209.0
2013,1117,158.23,32.29,65.0,309.0,156.0
2014,1117,160.0,23.43,91.0,293.0,159.0
2015,1117,267.16,32.21,127.0,350.0,274.0
2016,1117,247.22,27.56,144.0,324.0,245.5
2017,1117,108.72,37.85,26.0,314.0,106.0
2018,1117,274.57,29.22,112.0,343.0,280.0
2019,1117,249.17,27.7,172.0,324.0,246.0
2020,1117,197.36,43.02,69.0,323.0,198.0
2021,1117,270.91,39.17,129.0,353.0,265.5
2022,1117,179.4,36.94,87.0,333.0,178.0
2023,1117,287.48,26.26,166.0,345.0,294.0
2024,1117,201.94,49.06,87.0,338.0,195.0
2003,1119,316.69,6.68,258.0,326.0,318.0
2004,1119,317.08,12.9,186.0,326.0,320.0
2005,1119,326.65,4.21,270.0,330.0,327.0
2006,1119,317.48,22.58,191.0,333.0,325.0
2007,1119,207.25,45.66,87.0,312.0,218.0
2008,1119,251.26,26.81,193.0,327.0,250.0
2009,1119,301.84,24.96,191.0,340.0,308.0
2010,1119,212.38,50.2,68.0,312.0,223.0
2011,1119,260.38,32.19,130.0,326.0,260.0
2012,1119,294.36,18.85,243.0,342.0,294.0
2013,1119,216.22,36.84,124.0,325.0,217.0
2014,1119,247.55,35.36,159.0,349.0,241.0
2015,1119,193.93,48.1,67.0,306.0,201.0
2016,1119,191.71,45.32,35.0,313.0,200.5
2017,1119,232.2,39.38,111.0,331.0,237.0
2018,1119,220.78,43.16,83.0,321.0,218.0
2019,1119,254.97,27.2,130.0,342.0,254.0
2020,1119,272.94,29.82,176.0,342.0,273.0
2021,1119,141.37,49.28,21.0,332.0,137.5
2022,1119,257.68,32.19,121.0,323.0,266.0
2023,1119,267.7,33.05,123.0,345.0,265.0
2024,1119,335.75,13.67,270.0,362.0,337.0
2003,1120,39.7,14.22,8.0,109.0,37.0
2004,1120,57.23,23.76,7.0,177.0,55.0
2005,1120,115.06,31.23,14.0,249.0,119.0
2006,1120,104.88,33.4,31.0,255.0,107.0
2007,1120,94.21,19.52,40.0,177.0,91.0
2008,1120,131.46,26.05,38.0,235.0,133.0
2009,1120,84.05,23.71,9.0,185.0,84.0
2010,1120,129.15,25.55,60.0,201.0,131.0
2011,1120,247.14,42.68,85.0,336.0,252.0
2012,1120,135.96,29.95,52.0,280.0,133.0
2013,1120,185.73,36.68,83.0,336.0,186.0
2014,1120,146.17,39.82,75.0,300.0,136.0
2015,1120,143.1,28.27,84.0,301.0,138.0
2016,1120,136.94,37.69,49.0,260.0,136.0
2017,1120,80.11,20.89,16.0,189.0,79.0
2018,1120,21.2,17.31,1.0,94.0,14.0
2019,1120,17.75,9.23,2.0,58.0,15.0
2020,1120,15.56,10.32,1.0,67.0,13.0
2021,1120,73.77,23.04,14.0,217.0,69.0
2022,1120,9.14,10.25,1.0,96.0,7.0
2023,1120,24.73,9.02,3.0,68.0,24.0
2024,1120,15.1,13.98,2.0,159.0,10.0
2003,1122,122.48,45.67,27.0,271.0,112.0
2004,1122,134.57,47.98,52.0,290.0,122.0
2005,1122,217.7,28.0,101.0,302.0,215.0
2006,1122,171.59,27.16,95.0,264.0,171.0
2007,1122,165.46,33.83,86.0,297.0,160.0
2008,1122,153.99,30.45,58.0,251.0,155.0
2009,1122,168.69,30.51,55.0,255.0,171.0
2010,1122,165.95,29.33,52.0,244.0,168.0
2011,1122,143.27,29.08,71.0,277.0,140.0
2012,1122,226.41,33.79,100.0,334.0,224.0
2013,1122,304.36,27.0,195.0,342.0,312.0
2014,1122,287.74,19.37,192.0,335.0,291.0
2015,1122,310.24,12.95,247.0,339.0,314.0
2016,1122,240.8,27.58,156.0,325.0,241.0
2017,1122,283.23,30.87,135.0,335.0,292.0
2018,1122,201.78,32.01,141.0,323.0,193.5
2019,1122,139.4,35.79,10.0,289.0,135.0
2020,1122,172.41,32.36,79.0,317.0,168.0
2021,1122,198.91,33.51,58.0,287.0,199.0
2022,1122,282.0,26.06,164.0,350.0,284.0
2023,1122,294.13,32.59,170.0,348.0,305.0
2024,1122,242.46,35.05,154.0,353.0,235.0
2003,1123,133.96,35.56,10.0,250.0,138.0
2004,1123,149.5,38.06,10.0,271.0,149.0
2005,1123,105.22,23.23,20.0,232.0,110.0
2006,1123,178.85,48.22,53.0,285.0,185.0
2007,1123,218.22,32.9,122.0,311.0,220.0
2008,1123,261.63,38.17,123.0,336.0,268.0
2009,1123,203.95,31.56,81.0,269.0,207.0
2010,1123,211.92,32.31,142.0,314.0,213.0
2011,1123,147.8,33.54,40.0,228.0,155.0
2012,1123,176.35,38.52,81.0,305.0,173.0
2013,1123,238.07,27.31,105.0,333.0,240.0
2014,1123,286.28,35.07,91.0,340.0,294.0
2015,1123,243.61,42.15,91.0,337.0,252.0
2016,1123,166.41,31.62,69.0,322.0,160.5
2017,1123,176.84,28.76,80.0,289.0,177.0
2018,1123,141.07,26.74,75.0,256.0,141.0
2019,1123,114.38,29.38,8.0,204.0,115.0
2020,1123,136.46,30.37,64.0,257.0,129.0
2021,1123,173.19,26.44,91.0,291.0,172.0
2022,1123,240.75,25.35,128.0,315.0,243.0
2023,1123,154.91,32.28,84.0,302.0,149.0
2024,1123,238.46,39.3,94.0,310.0,251.0
2003,1124,116.43,26.58,28.0,200.0,114.0
2004,1124,244.85,36.97,98.0,317.0,250.0
2005,1124,209.12,46.79,92.0,325.0,204.0
2006,1124,186.56,57.6,29.0,332.0,183.5
2007,1124,118.11,29.62,45.0,250.0,115.0
2008,1124,35.88,14.3,11.0,126.0,34.0
2009,1124,44.89,22.36,6.0,157.0,43.0
2010,1124,29.02,20.75,5.0,109.0,21.0
2011,1124,57.36,24.65,5.0,150.0,61.0
2012,1124,10.89,9.87,1.0,83.0,9.0
2013,1124,41.91,16.27,7.0,100.0,41.0
2014,1124,34.79,16.66,3.0,95.0,34.0
2015,1124,17.8,7.73,5.0,136.0,17.0
2016,1124,29.18,13.77,6.0,117.0,26.0
2017,1124,9.42,6.2,1.0,48.0,9.0
2018,1124,42.13,18.1,1.0,134.0,40.0
2019,1124,60.25,30.53,12.0,185.0,49.0
2020,1124,8.95,9.86,1.0,117.0,5.0
2021,1124,2.44,2.34,1.0,27.0,2.0
2022,1124,4.66,4.63,1.0,63.0,4.0
2023,1124,15.38,8.81,1.0,61.0,13.0
2024,1124,17.83,10.9,2.0,104.0,15.0
2003,1125,160.76,26.95,70.0,248.0,160.0
2004,1125,87.34,24.87,20.0,223.0,85.0
2005,1125,222.08,28.58,123.0,325.0,219.5
2006,1125,183.82,33.37,51.0,257.0,188.5
2007,1125,134.58,23.82,59.0,227.0,134.5
2008,1125,138.2,30.34,51.0,239.0,141.0
2009,1125,136.28,39.35,44.0,314.0,135.0
2010,1125,150.07,31.16,57.0,277.0,150.0
2011,1125,52.89,30.09,4.0,192.0,49.0
2012,1125,60.96,29.3,9.0,210.0,60.0
2013,1125,42.3,16.36,3.0,147.0,42.0
2014,1125,96.72,27.37,9.0,180.0,100.0
2015,1125,132.29,26.16,48.0,191.0,136.0
2016,1125,114.55,22.87,68.0,290.0,113.0
2017,1125,101.7,35.02,31.0,278.0,93.0
2018,1125,87.92,14.57,43.0,145.0,87.0
2019,1125,62.43,21.66,11.0,180.0,60.0
2020,1125,99.94,29.21,22.0,195.0,97.5
2021,1125,86.9,32.04,6.0,244.0,87.0
2022,1125,57.24,18.68,13.0,129.0,55.0
2023,1125,131.08,27.51,48.0,267.0,125.0
2024,1125,137.26,26.62,71.0,341.0,135.0
2003,1126,297.91,34.41,137.0,324.0,312.0
2004,1126,306.87,22.38,173.0,325.0,314.0
2005,1126,264.13,40.49,65.0,319.0,273.0
2006,1126,267.36,31.49,168.0,320.0,273.0
2007,1126,325.41,9.54,259.0,336.0,328.0
2008,1126,306.83,17.8,226.0,337.0,310.0
2009,1126,273.63,30.05,182.0,339.0,278.0
2010,1126,253.89,31.93,163.0,339.0,259.0
2011,1126,251.56,37.96,143.0,326.0,257.0
2012,1126,279.51,24.75,162.0,344.0,279.0
2013,1126,276.78,19.57,137.0,344.0,279.0
2014,1126,338.84,13.53,232.0,351.0,343.0
2015,1126,330.65,9.22,275.0,350.0,331.0
2016,1126,310.48,21.33,98.0,350.0,312.0
2017,1126,340.54,8.86,281.0,350.0,342.0
2018,1126,299.53,27.22,185.0,351.0,303.0
2019,1126,301.42,20.18,195.0,349.0,306.0
2020,1126,286.31,24.13,150.0,337.0,290.0
2021,1126,293.68,59.11,151.0,357.0,312.0
2022,1126,331.5,13.03,266.0,357.0,334.0
2023,1126,340.63,17.2,218.0,362.0,346.0
2024,1126,311.35,24.99,169.0,360.0,316.0
2003,1127,201.99,24.4,122.0,286.0,202.0
2004,1127,238.74,27.49,110.0,312.0,241.0
2005,1127,219.28,29.18,89.0,324.0,219.0
2006,1127,232.81,42.06,125.0,324.0,225.0
2007,1127,248.02,23.19,135.0,307.0,254.0
2008,1127,234.14,32.17,132.0,334.0,230.0
2009,1127,162.16,40.31,60.0,310.0,163.0
2010,1127,259.18,26.47,117.0,323.0,259.0
2011,1127,303.42,23.73,110.0,344.0,309.0
2012,1127,341.82,6.86,280.0,345.0,344.0
2013,1127,338.17,10.75,247.0,347.0,342.0
2014,1127,334.03,11.1,246.0,350.0,336.0
2015,1127,336.76,9.57,283.0,351.0,339.0
2016,1127,318.02,16.37,223.0,345.0,321.0
2017,1127,282.86,26.45,159.0,334.0,288.0
2018,1127,275.65,34.32,160.0,330.0,282.0
2019,1127,326.92,10.98,253.0,351.0,329.0
2020,1127,316.19,23.88,200.0,351.0,324.0
2021,1127,320.23,21.85,227.0,355.0,326.0
2022,1127,291.62,21.21,153.0,348.0,292.0
2023,1127,310.73,26.03,110.0,356.0,311.0
2024,1127,259.11,31.68,125.0,335.0,265.0
2003,1128,199.12,28.49,118.0,275.0,197.0
2004,1128,166.16,39.6,37.0,285.0,166.0
2005,1128,193.85,35.28,26.0,292.0,200.0
2006,1128,183.12,44.82,45.0,303.0,174.0
2003,1129,179.27,26.35,108.0,248.0,182.0
2004,1129,80.09,23.76,18.0,189.0,79.0
2005,1129,213.38,48.88,48.0,317.0,214.0
2006,1129,150.71,20.01,55.0,241.0,150.0
2007,1129,113.0,19.95,65.0,230.0,112.0
2008,1129,108.66,22.63,49.0,173.0,107.0
2009,1129,122.65,39.37,46.0,271.0,117.0
2010,1129,185.09,23.72,109.0,256.0,187.0
2011,1129,127.65,36.94,40.0,290.0,124.0
2012,1129,132.44,34.92,19.0,293.0,138.0
2013,1129,55.5,23.92,6.0,261.0,53.0
2014,1129,61.14,14.99,12.0,117.0,62.0
2015,1129,63.75,21.21,19.0,202.0,60.0
